===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          10.65%    88.21MiB / 2.711GiB   3.18%     227MB / 5.73MB    22.8MB / 3.65MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            184.08%   304.5MiB / 2.711GiB   10.97%    373MB / 908MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     195.1MiB / 2.711GiB   7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.17%     83.22MiB / 2.711GiB   3.00%     211kB / 124kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.53%     176MiB / 2.711GiB     6.34%     308kB / 277kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.96%     10.89MiB / 2.711GiB   0.39%     235MB / 240MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              67.10%    209.2MiB / 2.711GiB   7.54%     684MB / 363MB     97.8MB / 1.07GB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.51%     15.04MiB / 2.711GiB   0.54%     529kB / 631kB     70.7MB / 287kB    6
===== 2026-06-17T14:37:20.3668905+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          6.03%     88.52MiB / 2.711GiB   3.19%     230MB / 5.82MB    22.8MB / 3.66MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            105.40%   304MiB / 2.711GiB     10.95%    380MB / 924MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     195.1MiB / 2.711GiB   7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     82.98MiB / 2.711GiB   2.99%     214kB / 125kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.07%     176.2MiB / 2.711GiB   6.35%     312kB / 282kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.85%     11.35MiB / 2.711GiB   0.41%     238MB / 243MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              39.84%    209.8MiB / 2.711GiB   7.56%     694MB / 369MB     97.8MB / 1.1GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     15.33MiB / 2.711GiB   0.55%     536kB / 639kB     70.7MB / 295kB    6
===== 2026-06-17T14:37:27.1310218+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          12.21%    88.61MiB / 2.711GiB   3.19%     233MB / 5.89MB    22.8MB / 3.66MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            192.23%   305MiB / 2.711GiB     10.99%    384MB / 937MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     195.1MiB / 2.711GiB   7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     82.98MiB / 2.711GiB   2.99%     218kB / 126kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.15%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     176.4MiB / 2.711GiB   6.36%     318kB / 287kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.32%     11.1MiB / 2.711GiB    0.40%     242MB / 247MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              66.09%    209.7MiB / 2.711GiB   7.56%     704MB / 373MB     97.8MB / 1.11GB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.54%     15.23MiB / 2.711GiB   0.55%     541kB / 648kB     70.7MB / 295kB    6
===== 2026-06-17T14:37:34.5065025+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          16.59%    88.27MiB / 2.711GiB   3.18%     238MB / 6MB       22.8MB / 3.67MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            251.36%   302.4MiB / 2.711GiB   10.89%    393MB / 956MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.11%     195MiB / 2.711GiB     7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.11%     83.23MiB / 2.711GiB   3.00%     222kB / 128kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.27%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.32%     176.1MiB / 2.711GiB   6.35%     324kB / 292kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.98%     11.04MiB / 2.711GiB   0.40%     247MB / 252MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              97.35%    210.2MiB / 2.711GiB   7.57%     718MB / 381MB     98.1MB / 1.15GB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           4.66%     15.45MiB / 2.711GiB   0.56%     547kB / 656kB     70.7MB / 295kB    6
===== 2026-06-17T14:37:41.9855752+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          19.10%    87.93MiB / 2.711GiB   3.17%     243MB / 6.12MB    22.8MB / 3.67MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            155.98%   304.1MiB / 2.711GiB   10.95%    400MB / 975MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.07%     195MiB / 2.711GiB     7.03%     35kB / 24.4kB     18.4MB / 307kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     82.75MiB / 2.711GiB   2.98%     225kB / 129kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     192.4MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     176.2MiB / 2.711GiB   6.35%     329kB / 296kB     7.14MB / 53.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.85%     11.07MiB / 2.711GiB   0.40%     251MB / 256MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              66.82%    210.5MiB / 2.711GiB   7.58%     732MB / 389MB     98.4MB / 1.16GB   14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.58%     15.61MiB / 2.711GiB   0.56%     553kB / 664kB     70.7MB / 295kB    6
===== 2026-06-17T14:37:49.2086154+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          7.89%     88.23MiB / 2.711GiB   3.18%     247MB / 6.22MB    22.8MB / 3.77MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            128.92%   304.8MiB / 2.711GiB   10.98%    407MB / 990MB     14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     194.6MiB / 2.711GiB   7.01%     35kB / 24.4kB     18.4MB / 651kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     82.75MiB / 2.711GiB   2.98%     229kB / 131kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     192.2MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 279kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.09%     175.5MiB / 2.711GiB   6.32%     336kB / 302kB     7.14MB / 54.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           2.93%     10.59MiB / 2.711GiB   0.38%     255MB / 260MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              43.23%    215.1MiB / 2.711GiB   7.75%     744MB / 395MB     103MB / 1.21GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           4.51%     15.62MiB / 2.711GiB   0.56%     560kB / 674kB     71.2MB / 295kB    6
===== 2026-06-17T14:37:56.5823260+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          13.72%    88MiB / 2.711GiB      3.17%     250MB / 6.31MB    22.8MB / 3.77MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            246.89%   303.7MiB / 2.711GiB   10.94%    413MB / 1.01GB    14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     194.6MiB / 2.711GiB   7.01%     35kB / 24.4kB     18.4MB / 651kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.10%     82.98MiB / 2.711GiB   2.99%     233kB / 132kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     192.2MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 279kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.28%     176MiB / 2.711GiB     6.34%     341kB / 307kB     7.14MB / 54.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.00%     10.61MiB / 2.711GiB   0.38%     260MB / 265MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              84.42%    219.5MiB / 2.711GiB   7.91%     756MB / 401MB     105MB / 1.23GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.89%     15.91MiB / 2.711GiB   0.57%     564kB / 681kB     71.2MB / 295kB    6
===== 2026-06-17T14:38:03.9633505+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          13.96%    88.16MiB / 2.711GiB   3.18%     255MB / 6.41MB    22.8MB / 3.78MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            228.48%   303.7MiB / 2.711GiB   10.94%    421MB / 1.02GB    14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     194.6MiB / 2.711GiB   7.01%     35kB / 24.4kB     18.4MB / 659kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.26%     83.23MiB / 2.711GiB   3.00%     236kB / 134kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.10%     192.2MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 279kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.22%     175.7MiB / 2.711GiB   6.33%     348kB / 312kB     7.14MB / 54.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           4.24%     10.63MiB / 2.711GiB   0.38%     264MB / 269MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              102.21%   221.4MiB / 2.711GiB   7.98%     768MB / 408MB     105MB / 1.27GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           3.87%     15.45MiB / 2.711GiB   0.56%     572kB / 692kB     71.2MB / 295kB    6
===== 2026-06-17T14:38:11.4601989+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          12.97%    88.01MiB / 2.711GiB   3.17%     258MB / 6.5MB     22.8MB / 3.78MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            244.94%   306MiB / 2.711GiB     11.02%    427MB / 1.04GB    14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     194.6MiB / 2.711GiB   7.01%     35kB / 24.4kB     18.4MB / 659kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.07%     83MiB / 2.711GiB      2.99%     240kB / 135kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.16%     192.2MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 279kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.25%     175.3MiB / 2.711GiB   6.31%     352kB / 317kB     7.14MB / 54.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.82%     10.97MiB / 2.711GiB   0.40%     268MB / 273MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              89.81%    222.9MiB / 2.711GiB   8.03%     779MB / 414MB     106MB / 1.28GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     15.92MiB / 2.711GiB   0.57%     577kB / 699kB     71.2MB / 295kB    6
===== 2026-06-17T14:38:17.9820053+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          22.42%    88.23MiB / 2.711GiB   3.18%     263MB / 6.63MB    22.8MB / 3.8MB    2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            350.10%   305MiB / 2.711GiB     10.99%    436MB / 1.06GB    14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.12%     194.6MiB / 2.711GiB   7.01%     35kB / 24.4kB     18.4MB / 659kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.50%     83.24MiB / 2.711GiB   3.00%     244kB / 137kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     192.2MiB / 2.711GiB   6.93%     34.9kB / 24.4kB   10.1MB / 279kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.29%     176MiB / 2.711GiB     6.34%     359kB / 322kB     7.14MB / 54.2MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           6.73%     11MiB / 2.711GiB      0.40%     273MB / 278MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              116.02%   225.5MiB / 2.711GiB   8.13%     795MB / 423MB     106MB / 1.31GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.61%     15.83MiB / 2.711GiB   0.57%     581kB / 706kB     71.2MB / 295kB    6
===== 2026-06-17T14:38:25.3942249+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          17.82%    88.39MiB / 2.711GiB   3.18%     269MB / 6.77MB    22.8MB / 3.85MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            308.79%   304.9MiB / 2.711GiB   10.99%    446MB / 1.08GB    14.9MB / 12MB     13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     194.5MiB / 2.711GiB   7.01%     35kB / 24.4kB     18.4MB / 766kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     83.23MiB / 2.711GiB   3.00%     247kB / 138kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     191.9MiB / 2.711GiB   6.91%     34.9kB / 24.4kB   10.1MB / 639kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.11%     175.1MiB / 2.711GiB   6.31%     364kB / 326kB     7.14MB / 54.8MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.19%     10.43MiB / 2.711GiB   0.38%     279MB / 285MB     10.9MB / 877kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              120.36%   230.5MiB / 2.711GiB   8.30%     813MB / 433MB     111MB / 1.35GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           4.74%     15.54MiB / 2.711GiB   0.56%     588kB / 715kB     71.3MB / 295kB    6
===== 2026-06-17T14:38:32.8260753+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          12.97%    88.27MiB / 2.711GiB   3.18%     272MB / 6.86MB    22.8MB / 3.85MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            101.20%   306.9MiB / 2.711GiB   11.06%    451MB / 1.09GB    14.9MB / 12.1MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     194.4MiB / 2.711GiB   7.00%     35kB / 24.4kB     18.4MB / 766kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.28%     83.48MiB / 2.711GiB   3.01%     251kB / 140kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     191.7MiB / 2.711GiB   6.91%     34.9kB / 24.4kB   10.1MB / 684kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.29%     174.4MiB / 2.711GiB   6.28%     370kB / 332kB     7.14MB / 55.3MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           3.58%     10.91MiB / 2.711GiB   0.39%     282MB / 288MB     10.9MB / 889kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              115.30%   223.6MiB / 2.711GiB   8.05%     824MB / 439MB     111MB / 1.37GB    12
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.58%     15.5MiB / 2.711GiB    0.56%     595kB / 725kB     71.3MB / 295kB    6
===== 2026-06-17T14:38:40.2828956+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          19.70%    87.98MiB / 2.711GiB   3.17%     277MB / 6.98MB    22.8MB / 3.85MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            340.32%   307.4MiB / 2.711GiB   11.07%    461MB / 1.12GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.13%     194.4MiB / 2.711GiB   7.00%     35kB / 24.4kB     18.4MB / 766kB    5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     83.47MiB / 2.711GiB   3.01%     254kB / 141kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.11%     191.7MiB / 2.711GiB   6.91%     34.9kB / 24.4kB   10.1MB / 684kB    5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.25MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.09%     174.6MiB / 2.711GiB   6.29%     375kB / 336kB     7.14MB / 55.4MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.39%     10.73MiB / 2.711GiB   0.39%     287MB / 293MB     10.9MB / 889kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              147.89%   235.4MiB / 2.711GiB   8.48%     838MB / 447MB     115MB / 1.4GB     14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.88%     15.8MiB / 2.711GiB    0.57%     600kB / 732kB     71.3MB / 295kB    6
===== 2026-06-17T14:38:47.2939879+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          17.82%    87.37MiB / 2.711GiB   3.15%     282MB / 7.11MB    22.8MB / 4.24MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            211.17%   308.6MiB / 2.711GiB   11.12%    470MB / 1.14GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.08%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     83.14MiB / 2.711GiB   3.00%     258kB / 142kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     171.3MiB / 2.711GiB   6.17%     380kB / 341kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           5.64%     10.72MiB / 2.711GiB   0.39%     292MB / 298MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              63.87%    237.4MiB / 2.711GiB   8.55%     855MB / 456MB     119MB / 1.44GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.56%     16.63MiB / 2.711GiB   0.60%     605kB / 740kB     77.1MB / 319kB    6
===== 2026-06-17T14:38:54.7049142+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          5.59%     87.16MiB / 2.711GiB   3.14%     285MB / 7.2MB     22.8MB / 4.24MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            60.84%    308.7MiB / 2.711GiB   11.12%    475MB / 1.15GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.13%     83.15MiB / 2.711GiB   3.00%     262kB / 144kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.19MiB / 2.711GiB   2.89%     1.92kB / 126B     7.52MB / 32.8kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.07%     170.8MiB / 2.711GiB   6.15%     385kB / 345kB     7.14MB / 59MB     5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           1.75%     11.05MiB / 2.711GiB   0.40%     296MB / 302MB     10.9MB / 918kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              20.23%    238.7MiB / 2.711GiB   8.60%     863MB / 461MB     119MB / 1.45GB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.91%     16.61MiB / 2.711GiB   0.60%     613kB / 750kB     77.1MB / 324kB    6
===== 2026-06-17T14:39:02.1474509+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          5.79%     87.23MiB / 2.711GiB   3.14%     290MB / 7.29MB    22.8MB / 4.25MB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            23.54%    307.6MiB / 2.711GiB   11.08%    482MB / 1.16GB    14.9MB / 12.2MB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     193.1MiB / 2.711GiB   6.96%     35kB / 24.4kB     18.4MB / 1.74MB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     82.91MiB / 2.711GiB   2.99%     264kB / 145kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.08%     190.6MiB / 2.711GiB   6.87%     34.9kB / 24.4kB   10.1MB / 1.68MB   5
