===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           9.66%     12.24MiB / 2.711GiB   0.44%     62.1MB / 63.4MB   10.9MB / 131kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              164.97%   125.2MiB / 2.711GiB   4.51%     187MB / 98.9MB    80.9MB / 283MB    20
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           3.68%     16.93MiB / 2.711GiB   0.61%     324kB / 336kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:33:06.3755319+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          23.06%    94.2MiB / 2.711GiB    3.39%     65.1MB / 1.79MB   22.8MB / 41kB     2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            350.66%   315.5MiB / 2.711GiB   11.37%    110MB / 270MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.10%     197.1MiB / 2.711GiB   7.10%     35kB / 24.4kB     18.4MB / 12.3kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     84.99MiB / 2.711GiB   3.06%     88.5kB / 71.7kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.11%     193.9MiB / 2.711GiB   6.99%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.92MiB / 2.711GiB   2.92%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.06%     201.3MiB / 2.711GiB   7.25%     116kB / 108kB     7.14MB / 27.7MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           7.23%     11MiB / 2.711GiB      0.40%     68.6MB / 70MB     10.9MB / 131kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              113.74%   130MiB / 2.711GiB     4.68%     205MB / 108MB     81MB / 295MB      14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.65%     16.87MiB / 2.711GiB   0.61%     330kB / 345kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:33:14.0469156+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          25.47%    93.64MiB / 2.711GiB   3.37%     72.5MB / 1.97MB   22.8MB / 53.2kB   2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            353.96%   315.6MiB / 2.711GiB   11.37%    120MB / 295MB     14.8MB / 57.3kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     196.6MiB / 2.711GiB   7.08%     35kB / 24.4kB     18.4MB / 45.1kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.20%     84.56MiB / 2.711GiB   3.05%     92.6kB / 73.7kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     193.6MiB / 2.711GiB   6.98%     34.9kB / 24.4kB   10.1MB / 45.1kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     80.82MiB / 2.711GiB   2.91%     1.92kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.96%     198.9MiB / 2.711GiB   7.17%     122kB / 114kB     7.14MB / 30.6MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           8.08%     11.16MiB / 2.711GiB   0.40%     75.4MB / 76.9MB   10.9MB / 229kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              113.66%   134.2MiB / 2.711GiB   4.84%     225MB / 118MB     81.2MB / 327MB    14
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           0.59%     16.03MiB / 2.711GiB   0.58%     337kB / 354kB     67.5MB / 77.8kB   6
===== 2026-06-17T14:33:21.4752949+01:00 =====
